model,AMPS_Hard,connections,cta,math_comp,olympiad,paraphrase,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,zebra_puzzle
gemma-3-12b-it,58.0,16.5,50.0,34.783,18.144,60.583,57.2,28.0,58.3,65.967,8.34,80.0,20.0
gemma-3-1b-it,8.0,2.333,4.0,2.174,4.331,26.233,38.267,8.0,35.183,28.867,0.0,6.0,5.25
gemma-3-4b-it,38.0,8.0,42.0,21.739,13.864,38.067,43.0,24.0,45.55,38.683,3.66,70.0,15.5
llama-3.1-8b-instruct,23.0,9.333,46.0,6.522,16.105,55.417,46.883,20.0,57.967,46.517,1.88,58.0,13.25
llama-3.2-1b-instruct,3.0,0.0,2.0,0.0,3.676,18.067,26.6,14.0,25.567,23.067,0.0,0.0,1.0
llama-3.2-3b-instruct,10.0,7.833,4.0,10.87,14.254,42.967,48.717,22.0,44.467,37.483,2.1,18.0,5.0
mistral-24b,29.0,24.0,42.0,10.87,23.238,45.333,58.1,34.0,49.083,36.4,9.38,72.0,19.75
mistral-7b,3.0,6.667,32.0,2.174,14.479,23.117,35.133,10.0,39.383,29.667,1.22,32.0,1.0
qwen2.5-32b,57.0,24.0,50.0,34.783,40.816,55.183,59.8,42.0,66.25,51.733,27.56,64.0,28.0
qwen2.5-3b,40.0,5.833,34.0,15.217,8.886,29.317,33.417,22.0,32.217,26.667,0.7,20.0,9.75
