model,average,data_analysis,instruction_following,language,math,reasoning
qwen2.5-32b,41.7,47.2,58.2,24.0,44.2,35.0
gemma-3-12b-it,36.8,46.1,60.5,16.5,37.0,24.0
mistral-24b,32.1,41.1,47.2,24.0,21.0,26.9
gemma-3-4b-it,26.4,38.6,41.3,8.0,24.5,19.8
llama-3.1-8b-instruct,25.6,35.3,51.7,9.3,15.2,16.6
qwen2.5-3b,18.3,18.2,30.4,5.8,21.4,15.9
llama-3.2-3b-instruct,16.9,8.0,43.4,7.8,11.7,13.5
mistral-7b,14.5,21.7,31.8,6.7,6.6,5.5
gemma-3-1b-it,9.9,3.3,32.1,2.3,4.8,6.6
llama-3.2-1b-instruct,6.7,0.7,23.3,0.0,2.2,7.5
