model,AMPS_Hard,connections,cta,math_comp,olympiad,paraphrase,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,zebra_puzzle
gemma-3-12b-it,34.0,19.667,10.0,30.435,17.69,54.55,46.933,14.0,42.967,52.5,8.8,78.0,20.25
gemma-3-1b-it,14.0,3.0,0.0,4.348,5.086,22.383,27.533,8.0,30.233,29.4,0.0,2.0,6.0
gemma-3-4b-it,37.0,12.833,4.0,15.217,14.524,39.067,42.783,6.0,38.3,36.183,0.0,64.0,13.25
llama-3.1-70b-instruct,30.0,20.333,12.0,21.739,25.192,51.017,52.233,32.0,49.217,49.467,25.66,80.0,17.25
llama-3.1-8b-instruct,17.0,7.333,26.0,6.522,14.48,43.883,48.117,22.0,47.1,42.817,0.28,46.0,6.25
llama-3.2-1b-instruct,5.0,0.667,0.0,0.0,5.068,18.3,26.867,0.0,20.933,21.217,0.0,0.0,2.25
llama-3.2-3b-instruct,12.0,2.5,6.0,10.87,9.434,32.25,44.617,20.0,39.05,33.0,0.94,14.0,7.0
mistral-24b,29.0,9.667,4.0,17.391,23.199,39.3,53.283,24.0,43.083,34.867,7.2,72.0,22.75
mistral-7b,5.0,3.5,0.0,0.0,12.811,38.417,32.517,20.0,36.217,31.667,0.0,14.0,4.0
qwen2.5-32b,51.0,23.0,50.0,32.609,39.893,49.5,59.05,36.0,55.083,56.983,25.08,54.0,32.0
qwen2.5-3b,39.0,3.167,28.0,13.043,8.154,33.65,29.767,18.0,35.883,28.933,2.0,14.0,14.0
