model,average,data_analysis,instruction_following,language,math,reasoning
qwen2.5-32b,39.3,43.0,55.2,23.0,41.2,34.0
llama-3.1-70b-instruct,32.1,39.2,50.5,20.3,25.6,24.6
gemma-3-12b-it,29.1,32.3,49.2,19.7,27.4,17.1
mistral-24b,25.3,27.7,42.6,9.7,23.2,23.4
gemma-3-4b-it,21.3,22.7,39.1,12.8,22.2,9.6
llama-3.1-8b-instruct,20.7,24.1,45.5,7.3,12.7,14.1
qwen2.5-3b,17.2,14.7,32.1,3.2,20.1,16.0
llama-3.2-3b-instruct,14.2,7.0,37.2,2.5,10.8,13.5
mistral-7b,12.2,4.7,34.7,3.5,5.9,12.0
gemma-3-1b-it,9.2,0.7,27.4,3.0,7.8,7.0
llama-3.2-1b-instruct,5.4,0.0,21.8,0.7,3.4,1.1
