model,AMPS_Hard,connections,cta,math_comp,olympiad,paraphrase,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,zebra_puzzle
gemma-3-12b-it,62.0,19.333,52.0,39.13,17.441,69.95,70.9,40.0,68.5,75.417,5.14,82.0,17.5
gemma-3-1b-it,21.0,3.667,20.0,13.043,5.264,41.433,47.117,4.0,36.483,43.317,0.0,16.0,1.75
gemma-3-4b-it,53.0,6.333,44.0,30.435,15.662,60.633,64.283,16.0,61.667,59.4,5.04,66.0,7.5
llama-3.1-70b-instruct,39.0,30.333,50.0,28.261,26.936,67.567,70.25,38.0,65.25,60.633,27.68,80.0,24.75
llama-3.1-8b-instruct,17.0,13.833,42.0,15.217,15.453,47.533,50.85,16.0,49.383,44.317,0.0,66.0,10.25
llama-3.2-1b-instruct,10.0,0.0,22.0,10.87,7.767,24.3,25.933,10.0,27.15,22.883,2.68,14.0,1.5
llama-3.2-3b-instruct,17.0,3.5,32.0,15.217,14.321,54.8,51.233,20.0,47.85,39.9,1.94,36.0,3.75
mistral-24b,21.0,17.333,44.0,15.217,20.826,50.25,51.1,24.0,54.883,45.567,16.24,66.0,22.75
mistral-7b,11.0,1.5,46.0,15.217,13.957,47.367,49.15,18.0,50.717,37.617,7.16,26.0,10.75
qwen-2.5-3b-instruct,41.0,10.667,36.0,17.391,12.141,44.15,45.883,12.0,44.15,38.633,9.02,42.0,17.25
qwen-32b,52.0,27.333,52.0,39.13,40.689,58.65,66.7,36.0,65.0,54.4,30.24,70.0,24.75
