model,average,data_analysis,instruction_following,language,math,reasoning
qwen-32b,42.7,50.7,61.2,27.3,43.9,30.4
llama-3.1-70b-instruct,42.3,52.6,65.9,30.3,31.4,31.4
gemma-3-12b-it,41.0,46.4,71.2,19.3,39.5,28.8
mistral-24b,30.5,42.1,50.4,17.3,19.0,23.4
gemma-3-4b-it,30.2,38.3,61.5,6.3,33.0,11.8
llama-3.1-8b-instruct,25.4,36.0,48.0,13.8,15.9,13.1
qwen-2.5-3b-instruct,24.2,29.0,43.2,10.7,23.5,14.6
llama-3.2-3b-instruct,20.5,23.3,48.4,3.5,15.5,11.9
mistral-7b,20.4,26.4,46.2,1.5,13.4,14.4
gemma-3-1b-it,14.7,12.0,42.1,3.7,13.1,2.9
llama-3.2-1b-instruct,10.7,12.9,25.1,0.0,9.5,5.8
